LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
184	-119.98	51.61	50	115	30	8417	247	-128	375	-53	7	155	-61	551	58	29	20	161	96	160	147	lp
185	-121.75	53.78	23	119	31	8404	210	-162	372	-80	22	127	-89	904	95	43	19	270	164	240	259	lp
186	-117.1	51.16	-6	98	29	7748	178	-155	333	-98	-12	94	-104	938	119	54	26	332	178	209	318	lp
187	-115.28	49.05	49	132	35	8163	259	-117	376	-49	146	154	-56	652	76	38	24	221	121	144	202	lp
188	-115.68	49.38	12	115	32	7791	208	-147	355	-78	108	112	-85	778	91	42	24	264	142	164	246	lp
189	-122.73	50.5	43	102	30	7456	224	-111	335	-46	133	138	-52	740	107	36	43	309	118	119	277	lp
190	-122.85	50.26	44	99	30	7159	220	-104	324	-41	135	135	-47	892	133	38	46	381	127	127	341	lp
191	-125.65	56.45	-26	110	28	9292	169	-222	391	89	-78	89	-149	487	64	17	31	170	72	170	126	lp
192	-119.12	50.7	46	104	30	8008	236	-105	341	-49	45	149	-57	633	78	36	21	205	122	158	192	lp
193	-119.18	50.7	58	107	30	8163	251	-97	348	-39	13	163	-48	604	73	34	20	193	117	153	180	lp
194	-120.28	56.06	14	114	26	11107	220	-212	432	145	-49	145	-137	472	76	19	47	209	66	209	82	lp
195	-121.93	55.33	10	103	28	9028	196	-169	365	122	-45	122	-108	678	82	24	25	224	121	224	173	lp
196	-121.23	54.91	11	111	29	8995	199	-174	373	122	-42	122	-109	697	81	28	25	231	124	231	175	lp
197	-124.14	53.63	6	134	34	8574	201	-184	385	111	-39	111	-109	486	58	20	26	160	76	160	123	lp
198	-124.2	53.61	6	134	34	8509	199	-184	383	110	-40	110	-109	483	58	20	26	158	75	158	123	lp
199	-124.71	54.7	23	113	29	8970	212	-166	378	-86	-27	133	-99	501	54	21	23	152	84	147	139	lp
200	-121.38	51.83	45	124	33	8276	235	-132	367	148	1	148	-66	462	58	19	29	158	69	158	115	lp
201	-115.52	49.43	49	124	32	8470	254	-123	377	-54	149	157	-61	620	72	39	23	207	124	144	188	lp
202	-121.08	50	41	105	32	7510	218	-103	321	-49	37	137	-55	500	66	30	30	188	97	102	172	lp
203	-132.1	53.83	72	64	32	4500	178	-20	198	50	109	132	18	1429	200	60	40	566	194	260	450	lp
204	-126.91	50.63	86	55	34	3792	178	20	158	60	135	135	40	1637	229	55	48	679	195	195	586	lp
205	-120.31	51.03	38	108	31	7965	223	-122	345	140	-6	140	-65	445	47	24	21	133	77	133	118	lp
206	-120.18	51.15	54	115	31	8301	249	-119	368	159	9	159	-54	439	47	23	22	132	74	132	118	lp
207	-129.15	55.28	53	89	30	7419	214	-79	293	0	56	147	-44	1220	197	47	48	491	160	193	403	lp
208	-121.65	52.16	35	117	32	8082	218	-138	356	135	-12	135	-72	573	69	30	23	186	98	186	144	lp
209	-123.95	52.23	12	156	36	9144	221	-210	431	121	-28	121	-115	370	43	15	29	119	50	119	91	lp
210	-122.61	51.7	24	128	33	8367	215	-171	386	127	-22	127	-85	355	51	16	34	133	55	133	84	lp
211	-124.65	49.41	94	86	36	5265	235	0	235	36	164	164	31	1523	241	36	60	689	124	124	631	lp
212	-119.05	49.56	47	113	32	7871	240	-103	343	126	1	148	-54	403	44	25	19	118	79	115	106	lp
213	-119.05	50.35	21	98	30	7665	203	-121	324	-69	-26	120	-76	546	63	33	18	168	106	145	156	lp
214	-124.66	49.23	57	83	37	4881	189	-34	223	6	121	123	2	1913	302	50	57	852	168	187	790	lp
215	-124.51	49.3	81	84	36	5146	219	-11	230	26	149	150	21	1637	261	40	59	740	137	155	681	lp
216	-117.91	49.3	36	99	30	7749	224	-105	329	-53	133	136	-59	737	92	42	26	257	133	157	238	lp
217	-128.58	54.43	61	73	25	7211	217	-67	284	11	134	153	-32	1421	227	49	51	610	157	174	501	lp
218	-122.41	52.33	39	122	32	8595	229	-144	373	144	-4	144	-76	424	53	19	32	156	60	156	94	lp
219	-121.38	51.35	40	117	33	8072	225	-128	353	141	-3	141	-67	404	47	18	28	132	63	132	107	lp
220	-118.2	49.9	51	102	31	7746	240	-89	329	-38	4	152	-46	698	87	44	23	236	145	164	219	lp
221	-122.65	57.18	-10	108	26	10672	195	-213	408	121	-72	121	-151	516	87	24	45	220	80	220	87	lp
222	-117.16	51.5	32	117	30	8882	235	-149	384	-79	36	143	-86	743	96	39	29	265	124	183	249	lp
223	-115.85	50.06	14	113	31	8050	209	-153	362	-80	-34	117	-88	672	74	42	20	210	142	165	198	lp
224	-117.58	49.11	65	108	31	8023	262	-80	342	-29	162	168	-36	759	98	39	30	277	121	146	253	lp
225	-117.85	49.47	17	95	29	7535	200	-120	320	-68	112	115	-75	719	88	46	23	243	142	163	224	lp
226	-120.43	49.61	31	116	33	7846	220	-123	343	-62	-14	131	-71	375	46	21	23	125	70	98	114	lp
227	-123.38	50.86	11	117	34	7110	187	-152	339	-73	1	101	-78	566	70	30	25	197	106	132	180	lp
228	-125.66	52.88	22	112	34	7419	192	-134	326	-67	18	114	-76	556	67	25	30	196	86	126	172	lp
